0,1,2,3,4,5,6,7,8
27,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-07 11:04:50.825571+07:00,07-08-2023  11:04:50
28,43FF9122,4.1902,-246.7292,5.0534,-94.4722,ECASD60J337M009KA0+C001/K803,2023-08-07 11:05:14.942904+07:00,07-08-2023  11:05:14
29,43FF9123,10.8518,-158.4612,9.8839,-214.6231,ECASD60J337M009KA0+C001/K803,2023-08-07 11:05:30.809542+07:00,07-08-2023  11:05:30
30,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-07 12:28:52.818355+07:00,07-08-2023  12:28:52
31,43FF9123,10.8518,-158.4612,9.8839,-214.6231,ECASD60J337M009KA0+C001/K803,2023-08-07 12:29:16.747934+07:00,07-08-2023  12:29:16
32,43FF9123,10.8518,-158.4612,9.8839,-214.6231,ECASD60J337M009KA0+C001/K803,2023-08-07 12:29:26.592655+07:00,07-08-2023  12:29:26
33,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-07 15:46:33.272448+07:00,07-08-2023  15:46:33
34,43FF9122,4.1902,-246.7292,5.0534,-94.4722,ECASD60J337M009KA0+C001/K803,2023-08-07 15:46:54.481858+07:00,07-08-2023  15:46:54
35,43FF9123,10.8518,-158.4612,9.8839,-214.6231,ECASD60J337M009KA0+C001/K803,2023-08-07 15:47:05.856059+07:00,07-08-2023  15:47:05
36,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-07 15:51:00.709279+07:00,07-08-2023  15:51:00
37,43FF9122,4.1902,-246.7292,5.0534,-94.4722,ECASD60J337M009KA0+C001/K803,2023-08-07 15:51:24.342600+07:00,07-08-2023  15:51:24
38,43FF9123,10.8518,-158.4612,9.8839,-214.6231,ECASD60J337M009KA0+C001/K803,2023-08-07 15:51:39.255453+07:00,07-08-2023  15:51:39
39,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-08 07:35:05.312163+07:00,08-08-2023  07:35:05
40,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-08 09:34:20.064879+07:00,08-08-2023  09:34:20
41,43FF9122,4.1902,-246.7292,5.0534,-94.4722,ECASD60J337M009KA0+C001/K803,2023-08-08 09:34:37.223543+07:00,08-08-2023  09:34:37
42,43FF9123,10.8518,-158.4612,9.8839,-214.6231,ECASD60J337M009KA0+C001/K803,2023-08-08 09:34:49.180008+07:00,08-08-2023  09:34:49
43,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-08 09:54:42.135672+07:00,08-08-2023  09:54:42
44,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-08 10:13:56.610472+07:00,08-08-2023  10:13:56
45,236BF233,3.6244,-174.9465,3.2472,-81.6759,ECASD60J337M009KA0+C001/K803,2023-08-08 10:40:29.467286+07:00,08-08-2023  10:40:29
